Fid,Gender,Age,Bank_Account,Bank_Name,Trans_Amount,Transno,Balance,Trans_Type,Trans_Date,Location,Fraud
150.112.138.51.101.45-74,Female,55,MWLL98469328154190,Unity Bank,835.4,8238,44381.51,Credit,2024-02-01,New York,1
168.234.149.202.154.233-66,Female,54,GCCR06007520895342,Summit Bank,7082.4,2519,47974.01,Debit,2023-08-01,Sydney,0
150.6.177.147.131.119-22,Female,35,UXBE49451350524062,Global Bank,9268.13,5106,2988.13,Credit,2022-05-30,Berlin,1
138.203.25.12.103.173-12,Female,70,LDQV41736205769907,Unity Bank,4747.62,9895,17508.99,Credit,2024-10-31,Mumbai,1
230.140.146.185.0.42-37,Female,27,CLOC34216322883359,Capital Trust,4847.21,9508,8687.08,Debit,2023-03-16,London,0
8.85.13.248.39.97-26,Female,24,TDVC86029585708180,Capital Trust,266.72,2419,45102.41,Debit,2024-06-12,London,0
162.39.198.27.204.62-22,Male,68,MDQB65225027338107,Capital Trust,2842.38,4572,35936.76,Debit,2022-04-19,Mumbai,0
154.183.174.165.170.254-89,Male,25,CSYY22381573520171,Global Bank,1221.45,7842,21979.62,Debit,2022-09-22,London,1
50.84.25.25.53.236-45,Female,52,LDIU91408665109934,Unity Bank,6804.17,3261,35882.09,Credit,2024-06-09,Tokyo,1
14.233.236.214.234.155-80,Male,60,DJNV68434817378146,Global Bank,1691.03,1704,9485.55,Debit,2024-11-09,London,0
221.190.176.229.3.219-33,Female,44,IGEM07503130521524,Pioneer Savings,263.9,8293,32945.92,Credit,2023-08-28,Beijing,1
99.35.160.180.202.235-27,Female,41,NQOY76510017707407,Capital Trust,9793.31,7957,2248.31,Credit,2023-11-29,Sydney,0
205.204.130.204.10.124-23,Female,69,WUWW82989661117870,Unity Bank,3713.85,4643,28482.44,Credit,2022-02-24,London,1
211.169.235.47.93.208-84,Male,28,BCFA94405534753159,Unity Bank,263.52,5510,44654.36,Credit,2023-11-20,Tokyo,0
67.65.104.41.219.195-12,Female,48,IAXK69571331448049,Capital Trust,7744.79,6316,8380.37,Credit,2024-08-12,Berlin,0
65.83.254.22.162.170-55,Female,39,JHPA91396023195420,Pioneer Savings,8516.38,3281,25783.3,Debit,2024-02-03,Mumbai,1
26.175.245.41.54.25-31,Female,38,NJWY33263475557667,Pioneer Savings,6142.05,4733,49193.09,Credit,2022-10-25,Mumbai,1
63.188.33.232.93.169-31,Female,75,NSMB92623990828332,Pioneer Savings,5487.8,4695,10022.24,Debit,2023-06-21,Tokyo,1
125.163.115.125.132.184-97,Male,54,DXME65070111869401,Capital Trust,9351.58,3419,37901.47,Credit,2023-12-23,Mumbai,1
134.38.6.85.25.11-96,Male,65,DXUG98359980839225,Summit Bank,6271.14,7419,38765.84,Debit,2022-03-12,Sydney,1
109.114.167.104.244.212-55,Male,69,KTZG05392394429378,Pioneer Savings,6802.29,3575,38193.2,Debit,2024-03-22,New York,0
11.71.35.121.7.110-79,Male,78,QDJT90977480071696,Unity Bank,7452.02,6281,13668.29,Debit,2023-11-06,Berlin,0
223.73.49.10.130.37-78,Male,32,RQIV95609356618244,Capital Trust,3314.69,5693,15897.75,Debit,2022-01-01,London,1
125.174.234.206.85.233-58,Female,40,ZRZW41602335283215,Summit Bank,5572.78,1755,42303.44,Debit,2022-12-26,Tokyo,1
30.94.251.105.91.151-38,Female,78,OPIM72448091967867,Summit Bank,3531.66,3225,42362.34,Debit,2023-02-13,Sydney,0
38.207.146.34.69.236-89,Female,18,AGOB39951062260780,Unity Bank,8837.55,4309,46244.35,Credit,2024-01-12,London,1
78.41.167.133.44.99-28,Female,66,TTPC22765301214392,Unity Bank,9637.59,5186,43805.74,Debit,2022-01-02,New York,0
1.109.215.55.79.92-34,Female,57,XGKM90089731143850,Summit Bank,4532.58,9342,2334.57,Debit,2023-01-14,London,0
87.49.66.19.143.233-12,Male,42,XEAO61597343629629,Unity Bank,2134.63,1450,12542.55,Credit,2022-03-30,New York,1
142.219.180.211.99.61-94,Female,19,QWCR32412791872479,Global Bank,4914.04,2865,3498.15,Credit,2022-02-22,London,1
7.135.31.15.154.24-84,Female,29,TPTP17684847593504,Capital Trust,8772.83,3123,41202.12,Debit,2024-08-15,Mumbai,1
202.141.169.184.224.141-18,Male,25,RAHY91609716632204,Pioneer Savings,425.1,7204,15414.2,Debit,2024-05-26,Sydney,1
228.171.140.99.202.159-34,Female,73,QUEK88785766952750,Unity Bank,6141.89,4415,17919.81,Credit,2024-04-14,Berlin,0
237.145.222.13.231.118-37,Female,58,OQWK77371375946508,Global Bank,9436.93,1402,47273.29,Credit,2022-02-14,London,1
94.61.187.85.106.111-81,Male,30,FERZ26773918369856,Unity Bank,9156.51,7009,5772.2,Debit,2023-09-01,Tokyo,1
33.184.157.175.199.154-65,Male,29,NAJC47932020605609,Capital Trust,5408.91,6052,15741.23,Debit,2022-12-25,Tokyo,1
32.118.106.40.147.123-13,Female,67,CVPU43622414635853,Summit Bank,3029.82,9684,2873.63,Credit,2022-05-09,New York,1
62.200.149.191.115.2-69,Female,31,EPOY54956850254616,Unity Bank,5176.31,1122,47388.8,Credit,2022-03-06,New York,1
149.255.230.134.56.155-47,Female,75,WQUA70641851961548,Capital Trust,3319.78,8541,38777.84,Debit,2023-11-02,Beijing,0
2.177.117.198.120.45-51,Male,62,SYCK47164840301699,Capital Trust,6977.85,4483,35485.36,Credit,2023-02-26,London,1
103.3.9.19.223.244-39,Female,41,OKBB98611582647744,Pioneer Savings,3092.95,2477,12297.34,Debit,2022-07-12,Sydney,1
5.111.80.80.83.159-19,Female,56,WDLW67623798201316,Unity Bank,2474.0,6486,31290.79,Credit,2022-05-14,New York,0
6.3.65.188.189.111-88,Female,59,IEED24688336046205,Global Bank,8837.33,5904,43978.54,Debit,2021-12-21,Tokyo,0
69.71.194.13.144.57-11,Female,61,PLAR06050639850346,Summit Bank,8853.73,5856,26910.6,Debit,2023-04-06,London,0
68.89.105.96.82.175-27,Female,25,NKXK27974269065443,Unity Bank,1774.08,6289,21076.78,Debit,2024-02-21,Beijing,1
222.89.125.156.117.241-27,Female,34,FUMK39149096354554,Pioneer Savings,9290.48,5219,47712.77,Debit,2022-02-06,Berlin,0
173.58.5.87.63.121-85,Male,45,AUCQ70399805307876,Pioneer Savings,1714.25,1421,27416.19,Debit,2023-09-26,Tokyo,0
218.205.2.146.168.202-93,Female,48,RVRX94385260757948,Unity Bank,5222.71,5522,9735.22,Credit,2024-03-04,Beijing,0
37.175.5.217.155.189-60,Male,57,ZCON90866881686702,Summit Bank,7576.19,9343,30090.29,Credit,2022-09-16,New York,0
194.221.151.165.226.98-21,Female,24,UPPX05825622626756,Global Bank,9732.35,8785,49275.38,Credit,2023-09-01,London,1
116.1.21.52.37.135-92,Female,24,FCPI98239564799942,Pioneer Savings,7036.68,3934,44673.27,Debit,2023-07-11,Berlin,0
97.37.32.121.223.221-87,Female,35,RVTB05783640173244,Capital Trust,5316.19,7547,16067.08,Credit,2023-04-13,Berlin,1
95.183.195.10.232.128-11,Female,32,LPTR71984791719837,Unity Bank,4162.37,6850,4490.52,Credit,2024-06-04,Sydney,0
44.8.61.24.19.139-62,Male,77,LKQX56151432237404,Global Bank,2585.79,6587,40313.69,Credit,2023-12-14,New York,0
214.141.103.151.61.211-44,Male,44,PBLY04752967968246,Global Bank,3323.58,7822,39871.62,Credit,2023-10-24,London,0
53.178.247.142.66.16-29,Female,49,NQBN93809662403450,Unity Bank,6546.78,5132,35846.84,Credit,2024-03-15,Beijing,0
0.97.83.224.83.239-20,Female,22,XJYC16086444217237,Capital Trust,6090.11,8346,13780.09,Debit,2023-09-26,Beijing,0
150.95.116.18.151.64-39,Female,62,AAIC92004342922857,Unity Bank,1544.78,2505,15419.16,Debit,2024-05-12,Sydney,1
158.164.57.42.48.193-95,Male,39,BFSH01117660752877,Capital Trust,7566.11,4766,25604.63,Credit,2024-11-16,London,1
103.137.16.33.71.119-44,Female,29,MWPL27389731184965,Summit Bank,5952.14,2044,30356.02,Credit,2024-01-10,London,1
222.130.246.127.96.125-27,Male,77,ECYZ05850034147901,Pioneer Savings,1395.28,4600,39932.04,Credit,2022-04-08,London,0
56.3.207.82.48.158-43,Female,34,ZSQY52379544693505,Unity Bank,5734.81,6560,21950.26,Credit,2022-04-24,Mumbai,1
113.152.119.233.236.6-39,Male,64,CWMT60176588330788,Unity Bank,3003.35,4363,24644.81,Debit,2023-03-23,Beijing,0
113.238.65.173.239.235-78,Male,19,UGWG66559473836830,Unity Bank,3973.29,1424,44516.13,Credit,2024-07-29,Mumbai,0
97.89.10.58.173.226-18,Female,44,LXSH92198795115449,Unity Bank,9232.18,8149,4910.64,Credit,2021-12-22,Mumbai,1
144.83.194.25.162.119-43,Female,40,QLCA57498321488140,Capital Trust,6756.38,9602,4191.65,Credit,2023-05-24,Beijing,1
188.111.139.10.17.65-77,Female,75,VTVD52253034928692,Capital Trust,8020.61,9341,25288.18,Credit,2024-11-11,Tokyo,0
219.214.90.52.58.90-53,Female,65,VILO11641670031019,Capital Trust,8400.05,9463,39613.97,Credit,2023-01-18,Tokyo,0
208.180.53.170.63.92-54,Male,38,RLBG70225931432925,Unity Bank,2120.47,2083,27516.17,Debit,2024-09-19,Mumbai,0
39.115.9.128.201.111-16,Male,23,BVWK13748800920745,Unity Bank,5641.94,8300,7539.71,Debit,2022-11-04,Beijing,1
83.172.236.190.44.56-96,Male,69,MORG04484288054932,Capital Trust,5972.82,5590,21636.87,Credit,2022-01-22,New York,0
18.10.30.220.220.55-58,Female,66,PSCK22756170014845,Capital Trust,7556.93,9581,25364.29,Credit,2024-10-18,London,0
23.55.177.211.124.221-94,Female,27,DGJH13702236564900,Pioneer Savings,1092.99,1643,16585.25,Credit,2024-10-28,Berlin,0
170.234.7.221.203.46-15,Female,69,RCCQ14932534499855,Unity Bank,8488.91,5205,28892.26,Debit,2022-11-27,Beijing,0
244.132.60.163.138.9-33,Female,27,URAZ97437153105264,Summit Bank,6142.45,3700,46849.58,Debit,2024-05-23,Berlin,0
135.164.125.100.116.125-34,Male,45,TTZY92807907252426,Capital Trust,2121.96,8348,36136.48,Credit,2023-07-27,Beijing,1
179.248.48.66.105.151-62,Male,21,WRDP63784303467260,Capital Trust,3983.01,5257,32219.96,Credit,2024-05-13,Sydney,1
70.25.69.127.221.86-18,Male,42,AAQZ06595904152240,Capital Trust,3462.51,5261,32385.92,Credit,2023-11-05,New York,1
20.53.67.180.89.36-77,Female,48,DCSD99287521558464,Summit Bank,2084.1,7290,12194.74,Debit,2021-12-30,Mumbai,1
237.144.236.60.100.109-52,Male,31,XAKK13010421440552,Unity Bank,1973.38,8458,24632.95,Debit,2023-10-27,Sydney,1
225.106.33.197.76.240-50,Male,38,OBSQ11475884588105,Global Bank,8500.32,5572,32138.49,Credit,2023-06-20,Tokyo,1
151.238.184.197.98.33-95,Female,67,JZOP52255175500559,Pioneer Savings,6339.12,6671,35273.8,Debit,2021-12-02,Mumbai,1
185.218.176.240.107.119-47,Female,29,MEIK01544785334641,Capital Trust,5422.13,4522,45630.17,Credit,2023-04-16,Beijing,1
216.41.84.240.169.207-16,Male,26,YGHY78342076965207,Pioneer Savings,9818.24,9114,13710.33,Debit,2022-05-15,London,0
69.148.133.94.162.246-66,Male,18,DEHV77303808144103,Summit Bank,2326.88,5019,5817.57,Debit,2023-10-20,New York,1
